Title,,,,,,,Date,View,Link
"
Just Play 😎"
노래방에서 - 장범준 [연주 l Acoustic Guitar Cover l 통기타 커버 ] - YouTube,,,,,,,2019. 5. 24.,"115,036",https://www.youtube.com/watch?v=BWvR-pP_rfY&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=23&t=0s
주저하는 연인들을 위해 - 잔나비 [연주 l Acoustic Guitar Cover l 통기타 커버 ] - YouTube,,,,,,,2019. 5. 3.,"242,229",https://www.youtube.com/watch?v=Xd8Fu9azzjc&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=24&t=0s
당신과는 천천히 - 장범준 [연주 l Acoustic Guitar Cover l 통기타 커버 ] - YouTube,,,,,,,2019. 4. 13.,"74,270",https://www.youtube.com/watch?v=WVqvBInP7DE&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=25&t=0s
어느 60대 노부부 이야기 - 김광석 [연주 l Acoustic Guitar Cover l 통기타 커버 ] - YouTube,,,,,,,2019. 3. 30.,"50,170",https://www.youtube.com/watch?v=SoOqOfPWFkA&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=26&t=0s
그러나 (however) - 10cm (십센치) [연주 l K-pop Acoustic Guitar Cover l 통기타 커버 ] - YouTube,,,,,,,2019. 3. 15.,"53,730",https://www.youtube.com/watch?v=0vqmxG-xsU0&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=27&t=0s
Rooftop (옥탑방) - N.Fying (엔플라잉) [커버 l 통기타 연주 l K-pop Acoustic Guitar Cover ] - YouTube,,,,,,,2019. 3. 2.,"112,454",https://www.youtube.com/watch?v=cL3FBrBzj4Q&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=28&t=0s
We All Lie - 하진 (SKY 캐슬 OST) [Cover｜통기타 초보를 위한 쉬운 곡] - YouTube,,,,,,,2019. 2. 9.,"69,431",https://www.youtube.com/watch?v=oD-CdYEtTec&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=29&t=0s
Faded - Alan Walker [Easy Guitar Cover l 통기타 커버 연주] - YouTube,,,,,,,2019. 1. 18.,"101,044",https://www.youtube.com/watch?v=fxFCqdAwZ7Y&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=30&t=0s
Happier - Marshmello ft. Bastille [Guitar Cover l 연주 통기타 커버 l Chord l 코드 l TAB l 악보 l Lyric l 가사] - YouTube,,,,,,,2019. 1. 4.,"40,089",https://www.youtube.com/watch?v=KfnTFGESqYs&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=31&t=0s
아낙네(FIANCÉ) - MINO (송민호) [연주 통기타 커버 Guitar Cover 코드 Chord 타브 TAB 악보] - YouTube,,,,,,,2018. 12. 12.,"121,280",https://www.youtube.com/watch?v=5CuHB4SvBA8&list=PLHUIPfxIAsYMwZP8hdlpnHRicw1MGX4uC&index=32&t=0s
